ID,SizeX,SizeY,SizeZ,LeafCount,MeasurementDate,HarvestVolume,PlantID
10000,20,17,6,2,4/22/22,0,5000
10001,17,20,5,2,4/24/22,0,5001
10002,17,15,9,3,4/17/22,0,5002
10003,16,17,8,1,4/20/22,0,5003
10004,18,19,7,1,4/22/22,0,5004
10005,17,20,9,1,4/16/22,0,5005
10006,15,18,5,3,4/18/22,0,5006
10007,17,15,8,2,4/18/22,0,5007
10008,16,16,9,2,4/19/22,0,5008
10009,15,19,9,1,4/21/22,0,5009
10010,17,18,8,2,4/17/22,0,5010
10011,19,20,9,1,4/17/22,0,5011
10012,16,16,6,3,4/17/22,0,5012
10013,18,18,8,1,4/17/22,0,5013
10014,16,16,5,2,4/17/22,0,5014
10015,19,16,6,2,4/21/22,0,5015
10016,18,20,8,3,4/22/22,0,5016
10017,20,17,9,1,4/18/22,0,5017
10018,16,20,7,2,4/17/22,0,5018
10019,18,19,6,2,4/19/22,0,5019
10020,19,20,10,2,4/22/22,0,5020
10021,17,18,7,3,4/18/22,0,5021
10022,19,16,6,2,4/20/22,0,5022
10023,19,16,10,2,4/16/22,0,5023
10024,18,16,10,2,4/16/22,0,5024
10025,17,15,8,2,4/23/22,0,5025
10026,16,16,6,3,4/21/22,0,5026
10027,19,19,8,3,4/18/22,0,5027
10028,18,20,9,1,4/19/22,0,5028
10029,20,20,8,3,4/19/22,0,5029
10030,18,19,7,1,4/22/22,0,5030
10031,19,15,6,2,4/19/22,0,5031
10032,18,16,8,1,4/19/22,0,5032
10033,17,19,9,3,4/23/22,0,5033
10034,16,20,6,1,4/22/22,0,5034
10035,19,18,6,2,5/5/22,0,5035
10036,20,17,8,2,5/5/22,0,5036
10037,20,15,6,3,5/2/22,0,5037
10038,16,16,9,3,5/2/22,0,5038
10039,18,18,7,2,5/3/22,0,5039
10040,20,18,6,2,4/29/22,0,5040
10041,20,18,9,1,5/5/22,0,5041
10042,19,16,8,2,4/30/22,0,5042
10043,16,19,8,2,5/5/22,0,5043
10044,16,18,6,2,5/2/22,0,5044
10045,16,17,8,2,4/30/22,0,5045
10046,16,18,9,2,5/2/22,0,5046
10047,18,17,9,2,4/29/22,0,5047
10048,15,17,6,2,5/2/22,0,5048
10049,16,17,9,3,5/2/22,0,5049
10050,16,15,10,2,5/1/22,0,5050
10051,19,18,5,2,5/5/22,0,5051
10052,15,18,7,2,5/2/22,0,5052
10053,19,17,8,1,4/30/22,0,5053
10054,18,16,9,2,5/5/22,0,5054
10055,19,17,9,1,5/2/22,0,5055
10056,20,18,9,2,5/2/22,0,5056
10057,17,15,9,1,5/3/22,0,5057
10058,18,18,8,3,5/1/22,0,5058
10059,17,20,6,3,4/30/22,0,5059
10060,20,17,8,2,5/2/22,0,5060
10061,16,18,10,3,5/4/22,0,5061
10062,17,18,9,3,5/3/22,0,5062
10063,20,15,10,3,5/5/22,0,5063
10064,16,16,8,3,5/1/22,0,5064
10065,18,20,6,1,5/3/22,0,5065
10066,19,18,10,2,5/7/22,0,5066
10067,20,15,6,2,5/4/22,0,5067
10068,20,17,6,2,5/6/22,0,5068
10069,18,16,8,2,5/5/22,0,5069
10070,19,18,9,2,5/3/22,0,5070
10071,19,20,9,3,5/4/22,0,5071
10072,19,19,6,3,5/3/22,0,5072
10073,18,19,10,2,5/19/22,0,5073
10074,16,19,6,3,5/19/22,0,5074
10075,16,19,8,2,5/19/22,0,5075
10076,18,18,8,3,5/20/22,0,5076
10077,15,18,9,3,5/20/22,0,5077
10078,17,18,10,1,5/19/22,0,5078
10079,16,18,7,2,5/16/22,0,5079
10080,17,16,7,1,5/22/22,0,5080
10081,18,18,9,3,5/19/22,0,5081
10082,18,18,8,2,5/15/22,0,5082
10083,19,19,9,1,5/20/22,0,5083
10084,17,16,6,3,5/18/22,0,5084
10085,18,20,10,1,5/22/22,0,5085
10086,17,17,7,1,5/18/22,0,5086
10087,15,17,10,2,5/18/22,0,5087
10088,15,20,5,2,5/19/22,0,5088
10089,18,16,6,2,5/23/22,0,5089
10090,18,17,8,3,5/17/22,0,5090
10091,17,20,9,2,5/19/22,0,5091
10092,18,20,10,3,5/18/22,0,5092
10093,17,17,9,2,5/25/22,0,5093
10094,17,18,6,2,5/18/22,0,5094
10095,18,18,5,3,5/19/22,0,5095
10096,19,20,5,1,5/21/22,0,5096
10097,18,19,9,2,5/21/22,0,5097
10098,16,19,9,2,5/24/22,0,5098
10099,15,18,6,3,5/21/22,0,5099
10100,17,18,6,1,5/21/22,0,5100
10101,18,16,6,1,6/5/22,0,5101
10102,19,18,10,2,6/3/22,0,5102
10103,16,20,7,1,5/30/22,0,5103
10104,17,17,7,1,5/28/22,0,5104
10105,18,16,8,2,5/31/22,0,5105
10106,16,17,9,2,6/4/22,0,5106
10107,18,20,6,2,5/30/22,0,5107
10108,17,16,10,2,5/30/22,0,5108
10109,19,15,8,3,5/29/22,0,5109
10110,16,18,10,1,6/5/22,0,5110
10111,16,18,9,1,6/4/22,0,5111
10112,15,18,5,2,6/4/22,0,5112
10113,19,18,7,1,5/31/22,0,5113
10114,17,17,6,2,5/28/22,0,5114
10115,17,20,7,2,5/29/22,0,5115
10116,17,18,6,3,6/2/22,0,5116
10117,16,19,6,3,5/30/22,0,5117
10118,18,16,7,1,5/30/22,0,5118
10119,20,15,6,2,5/29/22,0,5119
10120,18,18,8,2,5/31/22,0,5120
10121,17,19,5,2,6/2/22,0,5121
10122,17,16,8,2,6/5/22,0,5122
10123,19,16,9,3,6/2/22,0,5123
10124,20,15,7,2,6/3/22,0,5124
10125,19,16,9,2,5/31/22,0,5125
10126,19,19,6,1,6/4/22,0,5126
10127,17,18,10,2,6/4/22,0,5127
10128,19,19,8,3,5/29/22,0,5128
10129,16,16,8,2,5/31/22,0,5129
10130,19,17,9,3,6/1/22,0,5130
10131,16,19,8,3,6/3/22,0,5131
10132,16,19,10,2,6/1/22,0,5132
10133,15,18,6,1,5/29/22,0,5133
10134,28,26,11,5,4/29/22,8.7,5000
10135,29,26,11,6,5/1/22,10.2,5001
10136,26,29,13,6,4/24/22,6.6,5002
10137,28,30,13,5,4/27/22,10.4,5003
10138,29,28,13,4,4/29/22,3.6,5004
10139,30,25,9,5,4/23/22,10.1,5005
10140,25,29,9,5,4/25/22,10.6,5006
10141,26,28,11,5,4/25/22,3.2,5007
10142,27,25,9,3,4/26/22,4.9,5008
10143,26,30,11,5,4/28/22,12.9,5009
10144,28,26,11,4,4/24/22,3.2,5010
10145,30,27,13,3,4/24/22,3.8,5011
10146,28,25,12,4,4/24/22,12.2,5012
10147,27,28,11,3,4/24/22,6.5,5013
10148,27,28,9,4,4/24/22,12.9,5014
10149,28,26,10,4,4/28/22,10.4,5015
10150,29,29,10,4,4/29/22,5.4,5016
10151,26,26,10,4,4/25/22,7.2,5017
10152,30,25,10,6,4/24/22,5.6,5018
10153,28,26,11,4,4/26/22,10.8,5019
10154,29,28,12,5,4/29/22,4.1,5020
10155,28,28,12,5,4/25/22,10.5,5021
10156,28,26,9,5,4/27/22,7.5,5022
10157,29,27,10,5,4/23/22,6.3,5023
10158,29,28,12,4,4/23/22,12.9,5024
10159,29,27,12,4,4/30/22,4.9,5025
10160,26,26,12,5,4/28/22,8,5026
10161,27,30,9,4,4/25/22,10,5027
10162,29,27,10,5,4/26/22,8.4,5028
10163,30,28,10,4,4/26/22,12.2,5029
10164,28,29,11,3,4/29/22,4.4,5030
10165,29,27,11,4,4/26/22,6.4,5031
10166,27,28,10,6,4/26/22,4.5,5032
10167,25,26,9,3,4/30/22,11.9,5033
10168,30,25,8,5,4/29/22,12,5034
10169,30,29,10,5,5/12/22,11.1,5035
10170,26,29,12,5,5/12/22,3.3,5036
