ID,start_date,germination_date,germination_failure,seed_lot_id
1000,4/1/22,4/12/22,0,100
1001,4/1/22,4/11/22,0,101
1002,4/1/22,4/8/22,0,102
1005,4/1/22,4/10/22,0,105
1007,4/1/22,4/12/22,0,107
1008,4/1/22,4/6/22,0,108
1009,4/1/22,4/7/22,0,109
1010,4/1/22,4/8/22,0,110
1011,4/1/22,4/6/22,0,111
1012,4/1/22,4/11/22,0,112
1013,4/1/22,4/5/22,0,113
1015,4/1/22,4/8/22,0,115
1016,4/1/22,4/6/22,0,116
1019,4/1/22,4/6/22,0,119
1020,4/1/22,4/6/22,0,120
1021,4/1/22,4/10/22,0,121
1024,4/1/22,4/12/22,0,124
1025,4/1/22,4/9/22,0,125
1027,4/1/22,4/6/22,0,127
1028,4/1/22,4/6/22,0,128
1029,4/1/22,4/10/22,0,129
1030,4/1/22,4/9/22,0,130
1031,4/1/22,4/10/22,0,131
1032,4/1/22,4/5/22,0,132
1033,4/1/22,4/5/22,0,133
1034,4/1/22,4/10/22,0,134
1038,4/1/22,4/8/22,0,138
1040,4/1/22,4/8/22,0,140
1041,4/1/22,4/10/22,0,141
1042,4/1/22,4/7/22,0,142
1043,4/1/22,4/11/22,0,143
1044,4/1/22,4/6/22,0,144
1045,4/1/22,4/10/22,0,145
1046,4/1/22,4/12/22,0,146
1048,4/1/22,4/11/22,0,148
1049,4/14/22,4/22/22,0,100
1050,4/14/22,4/24/22,0,101
1054,4/14/22,4/19/22,0,105
1055,4/14/22,4/23/22,0,106
1056,4/14/22,4/22/22,0,107
1057,4/14/22,4/19/22,0,108
1058,4/14/22,4/25/22,0,109
1060,4/14/22,4/19/22,0,111
1061,4/14/22,4/22/22,0,112
1062,4/14/22,4/20/22,0,113
1063,4/14/22,4/20/22,0,114
1064,4/14/22,4/21/22,0,115
1065,4/14/22,4/19/22,0,116
1066,4/14/22,4/20/22,0,117
1067,4/14/22,4/21/22,0,118
1068,4/14/22,4/20/22,0,119
1069,4/14/22,4/22/22,0,120
1070,4/14/22,4/23/22,0,121
1072,4/14/22,4/19/22,0,123
1073,4/14/22,4/25/22,0,124
1075,4/14/22,4/23/22,0,126
1076,4/14/22,4/22/22,0,127
1079,4/14/22,4/21/22,0,130
1080,4/14/22,4/19/22,0,131
1083,4/14/22,4/19/22,0,134
1084,4/14/22,4/19/22,0,135
1085,4/14/22,4/24/22,0,136
1086,4/14/22,4/22/22,0,137
1087,4/14/22,4/25/22,0,138
1088,4/14/22,4/21/22,0,139
1090,4/14/22,4/21/22,0,141
1091,4/14/22,4/25/22,0,142
1092,4/14/22,4/23/22,0,143
1093,4/14/22,4/24/22,0,144
1094,4/14/22,4/22/22,0,145
1095,4/14/22,4/21/22,0,146
1096,4/14/22,4/22/22,0,147
1097,4/14/22,4/23/22,0,148
1098,5/1/22,5/6/22,0,128
1099,5/1/22,5/7/22,0,129
1101,5/1/22,5/9/22,0,131
1102,5/1/22,5/8/22,0,132
1104,5/1/22,5/8/22,0,134
1105,5/1/22,5/7/22,0,135
1106,5/1/22,5/6/22,0,136
1107,5/1/22,5/9/22,0,137
1108,5/1/22,5/10/22,0,138
1109,5/1/22,5/5/22,0,139
1110,5/1/22,5/11/22,0,128
1111,5/1/22,5/8/22,0,129
1112,5/1/22,5/12/22,0,130
